scenario_id,target_id,task,model,logloss,brier,auc,balanced_accuracy,macro_f1,mae,rmse,r2,direction_accuracy,n_matured,n_pending,n_trades,n_skipped,n_unrealized,total_pnl,return_on_bankroll,return_on_turnover,win_rate,avg_pnl,max_drawdown,pnl_per_trade_std
DOM02,target_delta_24h,regression,limix,,,,,,0.06458913518193517,0.13929959380674647,-0.22436268849579188,0.5,54,130,18.0,98.0,0.0,27.624891348639323,0.0027624891348639324,0.01534716186035518,0.4444444444444444,1.534716186035518,144.3580855579977,39.579778814274015
DOM02,target_delta_24h,regression,base_rate,,,,,,0.06120386431907758,0.1264412657874856,-0.008760471510025791,0.5,54,130,0.0,0.0,0.0,0.0,0.0,,,,0.0,
DOM02,target_delta_24h,regression,price_unchanged,,,,,,0.058638888888888865,0.1259996876833284,-0.0017268705015252017,0.16666666666666666,54,130,0.0,0.0,0.0,0.0,0.0,,,,0.0,
DOM02,target_delta_24h,regression,mean_reversion,,,,,,0.06249999999999997,0.1329665005848382,-0.11556495989146143,0.6851851851851852,54,130,17.0,55.0,0.0,433.0479575340129,0.043304795753401286,0.2547340926670664,0.7647058823529411,25.47340926670664,33.81071983109342,42.66513013177972
DOM02,target_delta_24h,regression,momentum,,,,,,0.08011111111111108,0.15361272100824055,-0.488897327580196,0.4074074074074074,54,130,17.0,55.0,0.0,-102.49436641738603,-0.010249436641738604,-0.06029080377493296,0.17647058823529413,-6.029080377493296,218.54487105833746,40.02256388077181
DOM02,final_outcome_yes,classification,limix,,,,,,,,,,0,0,,,,,,,,,,
DOM02,final_outcome_yes,classification,base_rate,,,,,,,,,,0,0,,,,,,,,,,
DOM02,final_outcome_yes,classification,price_unchanged,,,,,,,,,,0,0,,,,,,,,,,
DOM02,final_outcome_yes,classification,mean_reversion,,,,,,,,,,0,0,,,,,,,,,,
DOM02,final_outcome_yes,classification,momentum,,,,,,,,,,0,0,,,,,,,,,,
DOM03,target_up_24h,classification,limix,0.8738225465116279,0.5652738535557674,0.7558022510572958,0.4464712714354035,0.4350699766275248,,,,,86,97,38.0,59.0,0.0,-854.8127231289781,-0.0854812723128978,-0.22495071661288896,0.15789473684210525,-22.495071661288897,854.8127231289781,30.58436009539909
DOM03,target_up_24h,classification,base_rate,1.0450821046511631,0.6308267533196393,0.48563062955097563,0.3333333333333333,0.2152230971128609,,,,,86,97,0.0,0.0,0.0,0.0,0.0,,,,0.0,
DOM03,target_up_24h,classification,price_unchanged,1.6177644302325576,0.9045348837209303,0.5,0.3333333333333333,0.2152230971128609,,,,,86,97,0.0,0.0,0.0,0.0,0.0,,,,0.0,
DOM03,target_up_24h,classification,mean_reversion,1.0122522441860469,0.5996854587049304,0.648462648671565,0.3933524629363941,0.36728518964568746,,,,,86,97,0.0,19.0,0.0,0.0,0.0,,,,0.0,
DOM03,target_up_24h,classification,momentum,1.054451430232558,0.6234260390109767,0.568704616571949,0.4325681492109039,0.39764497584180375,,,,,86,97,0.0,29.0,0.0,0.0,0.0,,,,0.0,
DOM03,target_delta_24h,regression,limix,,,,,,0.07636060762906975,0.13100239458737337,-0.9769407267373533,0.3953488372093023,86,97,37.0,52.0,0.0,-678.9555811169447,-0.06789555811169447,-0.18350150840998505,0.16216216216216217,-18.350150840998506,743.203124114488,49.22055836659578
DOM03,target_delta_24h,regression,base_rate,,,,,,0.05344675466350441,0.09557439088116848,-0.05224836029916169,0.26744186046511625,86,97,41.0,21.0,0.0,-570.6012782162135,-0.05706012782162135,-0.13917104346736914,0.2682926829268293,-13.917104346736913,640.9888503946764,48.17558571350717
DOM03,target_delta_24h,regression,price_unchanged,,,,,,0.04877325581395346,0.09399918047638796,-0.017848906756257277,0.2441860465116279,86,97,0.0,0.0,0.0,0.0,0.0,,,,0.0,
